S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'34806.',b'10-Nov-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Providing and laying of GI Rising and Distribution pipe line in/c allied works. /Gr-I/ 153/EE/DWS/DMN/2020-21 / 2020_CEDWS_11273_1',b'Tripura',b'2020_CEDWS_11273_1'
b'34807.',b'19-Oct-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Drilling AND Development of 04 (Three) nos. Small Bore Deep Tube Wells/ 166/EE/DWS/DMN/2020-21 / 2020_CEDWS_11297_1',b'Tripura',b'2020_CEDWS_11297_1'
b'34808.',b'07-Nov-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Construction of 01(one) no Masonry Well/ 181/EE/DWS/DMN/2020-21 / 2020_CEDWS_11318_1',b'Tripura',b'2020_CEDWS_11318_1'
b'34809.',b'05-Aug-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Supply of construction material and providing equipments in NREGA and other Scheme at \tGram Panchayat\tBABUGULERIYA&amp;#x0d;/ 01/2020-21 DATE 09/07/2020\tBABUGULERIYA / 2020_PRD_190100_1',b'Rajasthan',b'2020_PRD_190100_1'
b'34810.',b'05-Aug-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Supply of construction material and providing equipments in NREGA and other Scheme at \tGram Panchayat\tBHEENDE KA PAR&amp;#x0d;/ 01/2020-21 DATE 09/07/2020\tBHEENDE KA PAR / 2020_PRD_190131_1',b'Rajasthan',b'2020_PRD_190131_1'
b'34791.',b'22-Jul-2020 12:00 AM',b'13-Jul-2020 05:15 PM',b'const.of.cement concret road&amp;#x0d;/ zppsbhn/gp khokarla/e1/20 21 / 2020_BHAND_594076_1',b'Maharashtra',b'2020_BHAND_594076_1'
b'34792.',b'26-Nov-2020 12:00 AM',b'13-Jul-2020 05:00 PM',"b'Providing Unskilled, Semi Skilled and Skilled manpower for Operation and Maintenance at various Channels/Canal Rest House/Canal Colony works in the jurisdiction of M/Garh Canal Water Services Division, Narnaul/ No. 2814-29/6A dated 01/07/2020 / 2020_HRY_135429_1'",b'Haryana',b'2020_HRY_135429_1'
b'34793.',b'22-Jul-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'const.of.cement concret road/ ppsbhn/gp khokarla/e1/20 21 / 2020_BHAND_594056_1',b'Maharashtra',b'2020_BHAND_594056_1'
b'34794.',b'07-Nov-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Construction of 01(one) no Masonry Well/ 181/EE/DWS/DMN/2020-21 / 2020_CEDWS_11318_1',b'Tripura',b'2020_CEDWS_11318_1'
b'34795.',b'14-Oct-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Water supply Schemes under JJM in North Tripura District / SH  Drilling and Development of 4(Four) Nos Deep Tube Wells/ 76/SE/DWS/C/KGT/2020-21 / 2020_CEDWS_11278_1',b'Tripura',b'2020_CEDWS_11278_1'
b'34796.',b'10-Nov-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Construction of Circular RCC Water Reservoir in/c Pump House/ 163/EE/DWS/DMN/2020-21 / 2020_CEDWS_11293_1',b'Tripura',b'2020_CEDWS_11293_1'
b'34797.',b'11-Aug-2020 12:00 AM',b'13-Jul-2020 05:00 PM',"b'Repairing of 600 mm i/d and 800 mm i/d DI pipe line with mechanical collar including JCB, Hydra, Gen set and Submersible pump etc.  at KMP highway toward Babra Bakipur Boosting station and all other works contingent there to complete in all respects/ Gurugram 7380-7458 dated 13/07/2020 / 2020_HRY_135447_1'",b'Haryana',b'2020_HRY_135447_1'
b'34798.',b'02-Nov-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Construction of Circular RCC Water Reservoir in/c Pump House/ 165/EE/DWS/DMN/2020-21 / 2020_CEDWS_11295_1',b'Tripura',b'2020_CEDWS_11295_1'
b'34799.',b'25-Sep-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'AR OF LR IN NARNAUL CONSTITUENCY GROUP-I IN DISTT MOHINDERGARH/ AR OF LR IN NARNAUL CONSTITUENCY G-I / 2020_HBC_135394_1',b'Haryana',b'2020_HBC_135394_1'
b'34800.',b'10-Nov-2020 12:00 AM',b'13-Jul-2020 05:00 PM',b'Drilling and Development of 04 (Three) nos. Small Bore Deep Tube Wells/ 175/EE/DWS/DMN/2020-21 / 2020_CEDWS_11310_1',b'Tripura',b'2020_CEDWS_11310_1'
b'34781.',b'01-Aug-2020 12:00 AM',b'13-Jul-2020 05:55 PM',b'Installation Sub Mersible pump with sok pit near Sujoy Singharoy bari/ JGM/BIN-1/LAL/03/20-21 / 2020_ZPHD_289360_4',b'West Bengal',b'2020_ZPHD_289360_4'
b'34782.',b'01-Aug-2020 12:00 AM',b'13-Jul-2020 05:55 PM',b'Installation Sub Mersible pump near Bhagbat sing land at Sayersai/ JGM/BIN-1/LAL/03/20-21 / 2020_ZPHD_289360_2',b'West Bengal',b'2020_ZPHD_289360_2'
b'34783.',b'08-Sep-2020 12:00 AM',b'13-Jul-2020 05:55 PM',b'Const. of concreate road at Choto Gorigram/ JGM/GOPI-II/TAPSIA/162 / 2020_ZPHD_289335_1',b'West Bengal',b'2020_ZPHD_289335_1'
b'34784.',b'08-Sep-2020 12:00 AM',b'13-Jul-2020 05:55 PM',b'Const. of concreate road at Tentuldangra Village/ JGM/GOPI-II/TAPSIA/162 / 2020_ZPHD_289335_2',b'West Bengal',b'2020_ZPHD_289335_2'
b'34785.',b'22-Jul-2020 12:00 AM',b'13-Jul-2020 05:50 PM',b'PROVIDING AND SUPPLY OF GHANTAGADI APE XTRA LDX BSVI WITH HYADROLIC TIPPER AT VILLAGE DEULGAON MALI TQ MEHKAR DIST BULDHANA/ E-TENDER/01/20-21 / 2020_BULDH_594104_1',b'Maharashtra',b'2020_BULDH_594104_1'
b'34786.',b'22-Jul-2020 12:00 AM',b'13-Jul-2020 05:45 PM',b'const.of.cement concret road/ zppsbhn/gp khokarla/e1/20 21 / 2020_BHAND_594100_1',b'Maharashtra',b'2020_BHAND_594100_1'
b'34787.',b'17-Aug-2020 12:00 AM',b'13-Jul-2020 05:30 PM',b'Restoration works for Road cutting in connection with laying of UG&amp;#x0d;\ncable at various locations in palakkad town under IPDS project of KSEB&amp;#x0d;\nunder PWD roads section no.1 Palakkad/ PWD/2020-2021/14527/RdDnPKD / 2020_PWD_371578_1',b'Kerala',b'2020_PWD_371578_1'
b'34788.',b'31-Jul-2020 12:00 AM',b'13-Jul-2020 05:30 PM',b'Emergent repair of inspection path over left embankment of Patchanda Khal from Kalidan Wooden Bridge to Gobardhanpur RCC Bridge at Mouza Kalidan  Block Panskura under East Midnapore Division/ WBIW/EE/EMD/NIT-8(e)/2020-21 / 2020_IWD_289409_2',b'West Bengal',b'2020_IWD_289409_2'
b'34789.',b'17-Sep-2020 12:00 AM',b'13-Jul-2020 05:30 PM',b'Mtc of Submersible pumping machinery including Panel board starters and all other related equipments thereto for the period 01.08.2020 to 31.03.2020  month/ SE Kaithal memo no. 8893 dated 10/07/2020 / 2020_HRY_135482_1',b'Haryana',b'2020_HRY_135482_1'
b'34790.',b'24-Aug-2020 12:00 AM',b'13-Jul-2020 05:30 PM',b'Construction of Office at near bypass pashuhatt campus Dewas/ 52/PWD/20 date 10-07-2020 / 2020_UAD_97778_1',b'Madhya Pradesh',b'2020_UAD_97778_1'
b'34771.',b'13-Nov-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'reparing the fittings washbasin removing blocks from bathrooms trap water closet etc/ PWD/2020-2021/8493/ / 2020_PWD_368072_2',b'Kerala',b'2020_PWD_368072_2'
b'34772.',b'23-Nov-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'SH Civill work &amp;#x0d;/ PW.SRDD-CB-CTR-2020-21 3755 DT 29.6.20 / 2020_PWD_38861_3',b'Himachal Pradesh',b'2020_PWD_38861_3'
b'34773.',b'23-Nov-2020 12:00 AM',b'13-Jul-2020 06:00 PM',"b'SH Construction of building portion, Providing and fixing water supply and sanitary installation, site development,Rain Harvesting tank and Septic tank etc/ PW.SRDD-CB-CTR-2020-21 3755 DT 29.6.2020 / 2020_PWD_38862_1'",b'Himachal Pradesh',b'2020_PWD_38862_1'
b'34774.',b'24-Jul-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Supply/Installation of Intercom System in M.C. Office Haily Mandi/ MCHM/2020/TENDER / 2020_HRY_135393_2',b'Haryana',b'2020_HRY_135393_2'
b'34775.',b'12-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Reparing of Bagirathi Panchali inspection Bunglow damaged due to Amphan under Surface water based water supply Scheme for arsenic affected areas of South 24 Parganas./ 07/2020-2021/EE/SWD-I/WBPHED / 2020_PHED_289470_1',b'West Bengal',b'2020_PHED_289470_1'
b'34776.',b'11-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Construction of Control Room building with toilet and other civil work at 33/11 KV S/S Dholpur Road (Jouri)  under O and M Circle Morena/ GM/CIVIL/GWL/ET/2020-21/05/10 / 2020_MKVVC_97809_1',b'Madhya Pradesh',b'2020_MKVVC_97809_1'
b'34777.',b'20-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'RAMACHANDRAVILASOM KUTTOOR ROAD&amp;#x0d;\nCONCRETING IN CHEMMARUTHY GP/ 03/2020/AE/LSGD/CHTY/TEN / 2020_LSGD_371364_17',b'Kerala',b'2020_LSGD_371364_17'
b'34778.',b'18-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Rehabilitation work of Laghata Iow level box Bridge at 14th Km of Ahmedpur Kirnahar Ramjibanpur Road under Birbhum Highway Division No.-II in the district of Birbhum/ WBPW(R)D/NIT- 01 of SE/WHC-I/2020-2021 / 2020_SH_289413_1',b'West Bengal',b'2020_SH_289413_1'
b'34779.',b'18-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Rehabilitation work of Bridge at 4.78 Km of Khoirasole Barajamtara Road under Birbhum Highway Division No.-II in the district of Birbhum/ WBPW(R)D/NIT- 01 of SE/WHC-I/2020-2021 / 2020_SH_289413_2',b'West Bengal',b'2020_SH_289413_2'
b'34780.',b'20-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'THEKKAZHIKAM ELA ROAD CONCRETING IN&amp;#x0d;\nCHEMMARUTHY GP/ 03/2020/AE/LSGD/CHTY/TEN / 2020_LSGD_371364_13',b'Kerala',b'2020_LSGD_371364_13'
b'34761.',b'17-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',"b'SH  Renovation of toilets, repair of doors, windows, ceiling, rain water pipes, floor tiles, painting distempering and W.S. and S.I. fittings etc &amp;#x0d;/ PW.SRDD-CB-CTR-2020-21 3755 DT 29.6.20 / 2020_PWD_38861_4'",b'Himachal Pradesh',b'2020_PWD_38861_4'
b'34762.',b'18-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Rehabilitation work of Laghata Iow level box Bridge at 14th Km of Ahmedpur Kirnahar Ramjibanpur Road under Birbhum Highway Division No.-II in the district of Birbhum/ WBPW(R)D/NIT- 01 of SE/WHC-I/2020-2021 / 2020_SH_289413_1',b'West Bengal',b'2020_SH_289413_1'
b'34763.',b'15-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'M R to inspection path over Damodar Left Embankment from Ch. 94.82 Km. to Ch. 95.62 Km. under Block and P.S.  Tarakeswar and Jangipara District  Hooghly under Champadanga Irrigation Sub Division of Lower Damodar Irrigation Division./ WBIW/EE-I/LDID/e-NIT- 05 /2020-21 / 2020_IWD_289488_4',b'West Bengal',b'2020_IWD_289488_4'
b'34764.',b'20-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'THEKKAZHIKAM ELA ROAD CONCRETING IN&amp;#x0d;\nCHEMMARUTHY GP/ 03/2020/AE/LSGD/CHTY/TEN / 2020_LSGD_371364_13',b'Kerala',b'2020_LSGD_371364_13'
b'34765.',b'22-Oct-2020 12:00 AM',b'13-Jul-2020 06:00 PM',"b'Maintenance of staff quarter complex under Capital Complex Division during the year 2020-21/SH- Annual maintenance of  Type-IV quarters 36 nos, Type-III qtrs 48 Nos and Type-II qtrs 48 Nos  under Capital Complex Sub-Division-I./ 15/EE/CCD/PWD/2020-21 / 2020_CEPWD_11328_1'",b'Tripura',b'2020_CEPWD_11328_1'
b'34766.',b'06-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Lohchab746FHTC/ Lohchab746FHTC / 2020_HRY_135389_1',b'Haryana',b'2020_HRY_135389_1'
b'34767.',b'30-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',"b'Re-e-Tender for the procurement of different types of Cartridges for Printers and Photo Copier for use of Kolkata Police, for the year 2020-21./ WBKP/CP/NIT-11/CARTRIDGES/RE/T / 2020_KP_289492_1'",b'West Bengal',b'2020_KP_289492_1'
b'34768.',b'04-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Constructing  V.R skew Bridge at K.M. 1.200 of Siyana Minor/ 1828-47/32-A dated 10.07.2020 / 2020_HRY_135444_4',b'Haryana',b'2020_HRY_135444_4'
b'34769.',b'06-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',"b'Providing Machinery for making the cloth bags(sewing machine ,offset printing set)/ NIT02/2020-21 Nandurbar / 2020_MAVIM_579772_2'",b'Maharashtra',b'2020_MAVIM_579772_2'
b'34770.',b'05-Nov-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'PM Improvements of irrigation facilities to Mahatma padasekharam in Perayam Panchayath/ 04/AEE/MI/2020-21 / 2020_Irrig_355328_3',b'Kerala',b'2020_Irrig_355328_3'
b'34751.',b'06-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Lohchab746FHTC/ Lohchab746FHTC / 2020_HRY_135389_1',b'Haryana',b'2020_HRY_135389_1'
b'34752.',b'18-Nov-2020 12:00 AM',b'13-Jul-2020 06:00 PM',"b'Electrical Works for DPTRC-1, Purulia/ NIT 7 of 2020- 21 Sl 3 / 2020_ZPHD_289510_1'",b'West Bengal',b'2020_ZPHD_289510_1'
b'34753.',b'20-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'CONSTRUCTION OF SIDEWALL IN CHAVADIMUKKU&amp;#x0d;\nSNVHSS ROAD IN CHEMMARUTHY GP/ 03/2020/AE/LSGD/CHTY/TEN / 2020_LSGD_371364_20',b'Kerala',b'2020_LSGD_371364_20'
b'34754.',b'13-Nov-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'reparing the fittings washbasin removing blocks from bathrooms trap water closet etc/ PWD/2020-2021/8493/ / 2020_PWD_368072_2',b'Kerala',b'2020_PWD_368072_2'
b'34755.',b'23-Nov-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'SH Civill work &amp;#x0d;/ PW.SRDD-CB-CTR-2020-21 3755 DT 29.6.20 / 2020_PWD_38861_3',b'Himachal Pradesh',b'2020_PWD_38861_3'
b'34756.',b'15-Sep-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'M R to inspection path over Damodar Left Embankment from Ch. 94.82 Km. to Ch. 95.62 Km. under Block and P.S.  Tarakeswar and Jangipara District  Hooghly under Champadanga Irrigation Sub Division of Lower Damodar Irrigation Division./ WBIW/EE-I/LDID/e-NIT- 05 /2020-21 / 2020_IWD_289488_4',b'West Bengal',b'2020_IWD_289488_4'
b'34757.',b'21-Jul-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Supply  Erection of CCTV Camera of MC Office Building Haily Mandi/ MCHM/2020/TENDER / 2020_HRY_135393_1',b'Haryana',b'2020_HRY_135393_1'
b'34758.',b'20-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'ALUMMOODU THOKKADU ROAD SIDE CONCRETE IN&amp;#x0d;\nCHEMMARUTHY GP/ 03/2020/AE/LSGD/CHTY/TEN / 2020_LSGD_371364_19',b'Kerala',b'2020_LSGD_371364_19'
b'34759.',b'20-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'ACHUTHANMUKKU AANAKUZHY ROAD&amp;#x0d;\nSIDECONCRETE AND RETARRING IN&amp;#x0d;\nCHEMMARUTHY GP/ 04/2020/AE/LSGD/CHTY/TEN / 2020_LSGD_371365_6',b'Kerala',b'2020_LSGD_371365_6'
b'34760.',b'12-Aug-2020 12:00 AM',b'13-Jul-2020 06:00 PM',b'Reparing of Bagirathi Panchali inspection Bunglow damaged due to Amphan under Surface water based water supply Scheme for arsenic affected areas of South 24 Parganas./ 07/2020-2021/EE/SWD-I/WBPHED / 2020_PHED_289470_1',b'West Bengal',b'2020_PHED_289470_1'
b'34731.',b'12-Oct-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'VMC 20-21 SO 228/21 Renovation of municipal office/ VMC 20-21 SO 228/21 Renovation of municipal office / 2020_LSGD_371414_1',b'Kerala',b'2020_LSGD_371414_1'
b'34732.',b'31-Jul-2020 12:56 AM',b'13-Jul-2020 07:10 PM',"b'Repairs  Renovations to Bastidawakhana at Govt.Primay School, Langerhouse, Karwan-13, Hyderabad/ 6-11/EE/TSMSIDC/Hyd.Divn/2020-21/           Dt:  09.07.2020 / 185029'",b'Telegana',b'185029'
b'34733.',b'25-Dec-2020 12:00 AM',b'13-Jul-2020 06:55 PM',b'SUPPLYING OF 100 NOS HAND CARRIAGE CAPACITY 140 LTR AND AS PER NIT SPECIFICATION. FOR MUNICIPAL COUNCIL JOURA DISTT. MORENA/ 1281_06.07.2020/1st call/handcarriage / 2020_UAD_97733_1',b'Madhya Pradesh',b'2020_UAD_97733_1'
b'34734.',b'22-Sep-2020 12:00 AM',b'13-Jul-2020 06:50 PM',b'BBLR Road from 37 to 41 and from 45 to 49 kmp/ WBPWD/EE/BD-II/eNIT-05/20-21 / 2020_PWD_289484_1',b'West Bengal',b'2020_PWD_289484_1'
b'34735.',b'03-Nov-2020 12:00 AM',b'13-Jul-2020 06:40 PM',b'ROAD RESTORATION WORK AT BHOHRA BAKHAL/ 1433 / 2020_UAD_97825_1',b'Madhya Pradesh',b'2020_UAD_97825_1'
b'34736.',b'30-Jul-2020 03:03 PM',b'13-Jul-2020 06:31 PM',"b'MRL-03 Road from PWD road Kommugudem to Anantharam via., Gopathanda, Guruvaguthanda, Kakarla of Julurupadu Mandal, Bhadradri Kothagudem District, Est. Cost  Rs.418.69 lakhs/ 25/2020-21, DT. 08-07-2020 of SE PR Khammam (2nd call) / 184777'",b'Telegana',b'184777'
b'34737.',b'30-Jul-2020 12:00 AM',b'13-Jul-2020 06:30 PM',b'Construction  Sub Marcible with pump in village JASOHARI/ 01/JA-II/2020-21 / 2020_ZPHD_289448_6',b'West Bengal',b'2020_ZPHD_289448_6'
b'34738.',b'30-Jul-2020 12:00 AM',b'13-Jul-2020 06:30 PM',b'Construction  Sub Marcible with pump in village DOHALIA/ 01/JA-II/2020-21 / 2020_ZPHD_289448_14',b'West Bengal',b'2020_ZPHD_289448_14'
b'34739.',b'01-Aug-2020 12:00 AM',b'13-Jul-2020 06:30 PM',b'AR and MO Various roads under Division WR 1 New Delhi during FY 2020 21 SH Providing Services of Out Sourcing staff like Computer Data Entry Operator Clerical Multitasking MTS and Housekeeping Staff under Sub Division WR 11 12 13 14 and 15 Division/ 02/EE/PWD WR-1/2020-21 / 2020_PWD_190455_4',b'NCT of Delhi',b'2020_PWD_190455_4'
b'34740.',b'30-Jul-2020 12:00 AM',b'13-Jul-2020 06:30 PM',b'Construction  Sub Marcible with pump in village MADHUNIA/ 01/JA-II/2020-21 / 2020_ZPHD_289448_5',b'West Bengal',b'2020_ZPHD_289448_5'
b'34721.',b'29-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Renewal of Gilaula Suvikha to Pipra Link Road km-1(800) in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_25',b'Uttar Pradesh',b'2020_CEDPW_492473_25'
b'34722.',b'19-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Renewal of Manorathpurwa Link Road km-1(400) in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_6',b'Uttar Pradesh',b'2020_CEDPW_492473_6'
b'34723.',b'28-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',"b'Renewal of B.K. Road km-24 to Maha Motiha Jamunaho Ummedpurwa Link Road km-1,2 and 3(500) in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_4'",b'Uttar Pradesh',b'2020_CEDPW_492473_4'
b'34724.',b'24-Jul-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'In-house manufacture and supply of High-Density Polyethylene (HDPE)&amp;#x0d;\nTree Guards in Panchkula district.&amp;#x0d;/ GM/HFDC/AMB/18/2020-21 / 2020_HBC_133391_2',b'Haryana',b'2020_HBC_133391_2'
b'34725.',b'31-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'As Per BOQ/ MCA/PWD/E-TENDER/2020 SR.NO 20 / 2020_DMA_594218_1',b'Maharashtra',b'2020_DMA_594218_1'
b'34726.',b'08-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Construction of CC Road and drain in village- Bagaria of Tahsil Ghatampur in Distt. Kanpur under C.S.R. Fund of Neyveli U.P. Power Ltd./ 2774M/39M-KV/2020-21 Dt. 26.06.2020 / 2020_CEKNP_491758_2',b'Uttar Pradesh',b'2020_CEKNP_491758_2'
b'34727.',b'18-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Road Renovation/ 1/AE/LSGD/PLGP/20-21 / 2020_LSGD_371507_6',b'Kerala',b'2020_LSGD_371507_6'
b'34728.',b'14-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'BOQ/ 07 of 2020-21 dated 13-07-2020 / 2020_FD_100342_1',b'Jammu and Kashmir',b'2020_FD_100342_1'
b'34729.',b'12-Oct-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'VMC 20-21 SO 228/21 Renovation of municipal office/ VMC 20-21 SO 228/21 Renovation of municipal office / 2020_LSGD_371414_1',b'Kerala',b'2020_LSGD_371414_1'
b'34730.',b'31-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'As Per BOQ/ MCA/PWD/E-TENDER/2020 SR.NO 18 / 2020_DMA_594215_1',b'Maharashtra',b'2020_DMA_594215_1'
b'34711.',b'12-Oct-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'W/S scheme Panjkoha/ Panjkoha / 2020_WSS_49716_2',b'Punjab',b'2020_WSS_49716_2'
b'34712.',b'31-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'As Per BOQ/ MCA/PWD/E-TENDER/2020 SR.NO 18 / 2020_DMA_594215_1',b'Maharashtra',b'2020_DMA_594215_1'
b'34713.',b'01-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'As per BOQ/ MCA/PWD/E-TENDER/2020 SR.NO 19 / 2020_DMA_594217_1',b'Maharashtra',b'2020_DMA_594217_1'
b'34714.',b'24-Jul-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'In-house manufacture and supply of High-Density Polyethylene (HDPE)&amp;#x0d;\nTree Guards in Panchkula district.&amp;#x0d;/ GM/HFDC/AMB/18/2020-21 / 2020_HBC_133391_2',b'Haryana',b'2020_HBC_133391_2'
b'34715.',b'28-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Renewal of Veerpur Link Road km-1 and 2(500) in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_28',b'Uttar Pradesh',b'2020_CEDPW_492473_28'
b'34716.',b'11-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Renewal of Raghunathpur (Gilaula) Link Road km-1(500) in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_22',b'Uttar Pradesh',b'2020_CEDPW_492473_22'
b'34717.',b'09-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Renewal of Gujarwara Link Road km-1 and 2 in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_3',b'Uttar Pradesh',b'2020_CEDPW_492473_3'
b'34718.',b'04-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Cleaning and desilting of Aluva Thodu/ AEE/MISDN/ALY/31/ET/2020-21/S / 2020_Irrig_371591_1',b'Kerala',b'2020_Irrig_371591_1'
b'34719.',b'14-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Keecherikkunnu Aroli GHSS road side protection in Pappinissery Grama Panchayath/ Tender-03/PGP/2020-21 / 2020_LSGD_371599_1',b'Kerala',b'2020_LSGD_371599_1'
b'34720.',b'13-Oct-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'various Idavazhi  oda construction covering slab concrete in Vadacodu Ward (294/21)/ 4/AEE/LSGD/ATR/2020-21 / 2020_LSGD_371526_15',b'Kerala',b'2020_LSGD_371526_15'
b'34701.',b'13-Oct-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Work of repairing road cuttings on urban roads under the division/ 791/26A/20 Dt. 02.07.2020 / 2020_CEKNP_492682_7',b'Uttar Pradesh',b'2020_CEKNP_492682_7'
b'34702.',b'04-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Supply and Spreading Matel Moorum Kopra and Dust on Different Places under CMO NP Aron/ NIT No 001/Etender NP Aron Dated 30.06.2020 / 2020_UAD_96825_1',b'Madhya Pradesh',b'2020_UAD_96825_1'
b'34703.',b'28-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',"b'Renewal of B.K. Road km-24 to Maha Motiha Jamunaho Ummedpurwa Link Road km-1,2 and 3(500) in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_4'",b'Uttar Pradesh',b'2020_CEDPW_492473_4'
b'34704.',b'18-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Road Renovation/ 1/AE/LSGD/PLGP/20-21 / 2020_LSGD_371507_2',b'Kerala',b'2020_LSGD_371507_2'
b'34705.',b'13-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'constrction of new room for vaillage office&amp;#x0d;\nNjeezhoor/ ET-07/BL/PALA/2019-2020 / 2020_PWD_348302_3',b'Kerala',b'2020_PWD_348302_3'
b'34706.',b'25-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'PAINTING WORK AT DIFFERENT PARK DEVELOPED UNDER 45 DAYS IN NARELA VIDHANSABHA/ 16/GARDEN/2020/BMC / 2020_UAD_97838_1',b'Madhya Pradesh',b'2020_UAD_97838_1'
b'34707.',b'19-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Renewal of Manorathpurwa Link Road km-1(400) in District-Shrawasti./ 1198/E-Tender/2020-21 Dated 04-07-2020 / 2020_CEDPW_492473_6',b'Uttar Pradesh',b'2020_CEDPW_492473_6'
b'34708.',b'01-Sep-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'As Per BOQ/ MCA/PWD/E-TENDER/2020 SR.NO 21 / 2020_DMA_594221_1',b'Maharashtra',b'2020_DMA_594221_1'
b'34709.',b'14-Aug-2020 12:00 AM',b'14-Jul-2020 09:00 AM',b'Keecherikkunnu Aroli GHSS road side protection in Pappinissery Grama Panchayath/ Tender-03/PGP/2020-21 / 2020_LSGD_371599_1',b'Kerala',b'2020_LSGD_371599_1'
