S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'34972.',b'30-Nov-2020 12:00 AM',b'13-Jul-2020 02:00 PM',"b'Construction of 1 No. shed in Gaushalla Village Phoosgarh, Ward No.2, Karnal/ 6/7 / 2020_HRY_135301_2'",b'Haryana',b'2020_HRY_135301_2'
b'34973.',b'07-Dec-2020 12:00 AM',b'13-Jul-2020 01:35 PM',b'CONSTRUCTION OF PARK INFRONT OF KARWALA  AT WARD 01/ 2020/UAD/1355/GOHAD / 2020_UAD_97746_1',b'Madhya Pradesh',b'2020_UAD_97746_1'
b'34974.',b'26-Aug-2020 12:00 AM',b'13-Jul-2020 01:30 PM',b'Construction of Rangmanch in Nadawan and Surajpura karela barmani Block Badwara/ 02/RES/2020 Date 04/07/2020 / 2020_RES_96330_1',b'Madhya Pradesh',b'2020_RES_96330_1'
b'34975.',b'24-Jul-2020 12:00 AM',b'13-Jul-2020 01:30 PM',b'Construction of Post mortem Room Barhi Block Badwara katni/ 02/RES/2020/Date 04/07/2020 / 2020_RES_96321_1',b'Madhya Pradesh',b'2020_RES_96321_1'
b'34976.',b'19-Oct-2020 12:00 AM',b'13-Jul-2020 01:30 PM',b'Construction of Ailamara RCC Bridge aproach road on the way of Sabroom to Baisnabpur road at ch 6.50km during the year 2020 2021 SH GSB WBM II and III carpeting sand seal coat  and CC block and pucca drain etc/ 05/PNIeT/EE/PWD/SBM/2020-21 / 2020_CEPWD_11018_1',b'Tripura',b'2020_CEPWD_11018_1'
b'34977.',b'11-Sep-2020 12:00 AM',b'13-Jul-2020 01:30 PM',b'CONSTRUCTION OF U SHAPE DRAIN FROM WELDING PULIYA TOWARDS SDM OFFICE TO TEEN KHAN KI MORI PULIYA AT WARD 16/ 2020/UAD/1355/GOHAD / 2020_UAD_97737_1',b'Madhya Pradesh',b'2020_UAD_97737_1'
b'34978.',b'30-Jul-2020 05:01 PM',b'13-Jul-2020 01:19 PM',"b'Supply Delivery and installation  of  (16) nos Pre-fabricated Modular Male and Female Toilets at ward 106 in Serilingampally  DIV20 in SLP Zone, GHMC(Item 3)/ 16/EE/CIR-20/SLPZ/GHMC/1-3/2020-21 Dt:10.07.2020 / 184937'",b'Telegana',b'184937'
b'34979.',b'21-Oct-2020 12:00 AM',b'13-Jul-2020 01:15 PM',b'CMLRRP (Phase II) Thiruvananthapuram District Attingal Legislative 2020-21 Cherunniyoor Grama Panchayath Rennovation of Cutting Thannimoodu Kattadivila Road&amp;#x0d;/ NO2/AE/LSGD/CHR/10/2020-21 / 2020_LSGD_364131_5',b'Kerala',b'2020_LSGD_364131_5'
b'34980.',b'29-Sep-2020 12:00 AM',b'13-Jul-2020 01:15 PM',b'Repairs to Agarkar high school building ( 15 Rooms)  at Akola  Dist. Akola/ E-Tender Notice No.01/2020-21 / 2020_AKOLA_593918_1',b'Maharashtra',b'2020_AKOLA_593918_1'
b'34961.',b'25-Jul-2020 03:26 PM',b'13-Jul-2020 02:34 PM',"b'Dismantling and re-erection of 17nos. of Mini Mast / Modern lighting poles at various locations in various divisions of Santosh Nagar Circle-7 in Yakutpura constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 4, dated: 13-07-2020 / 184957'",b'Telegana',b'184957'
b'34962.',b'27-Aug-2020 12:00 AM',b'13-Jul-2020 02:30 PM',"b'Procurement, supply, Installation and Commissioning of Two CNC Machines/ PAC/IND/2020-21/ 31 / 2020_MPSID_97654_1'",b'Madhya Pradesh',b'2020_MPSID_97654_1'
b'34963.',b'14-Jul-2020 12:00 AM',b'13-Jul-2020 02:30 PM',b'SALE OF SUGAR/ 314 / 2020_Coop_50507_1',b'Punjab',b'2020_Coop_50507_1'
b'34964.',b'25-Jul-2020 02:54 PM',b'13-Jul-2020 02:24 PM',"b'Supply of LT AB cable in place of damaged and brount out of AB cable at various locations in various divisions of Santosh Nagar Circle-7 in Yakutpura Constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 3, dated: 13-07-2020 / 184955'",b'Telegana',b'184955'
